Termo ou Expressão,Uso,Contexto,Grau de Ofensividade,Fonte
levou um fora/ levaste um fora,"Será que na tentativa de ir para a cama com o Carluxo levaste um fora, vamos lá conversar, é  muita perseguição, coisa de mulher rejeitada. https://t.co/rdFzQaOB0g",É usado para sexualizar o alvo,Insulto,Mapa da Violência Política de Gênero
rejeitada,"Será que na tentativa de ir para a cama com o Carluxo levaste um fora, vamos lá conversar, é  muita perseguição, coisa de mulher rejeitada. https://t.co/rdFzQaOB0g",É usado para desqualificar o alvo,Insulto,Mapa da Violência Política de Gênero
tentou ir pra cama/ tentativa de ir pra cama,"Será que na tentativa de ir para a cama com o Carluxo levaste um fora, vamos lá conversar, é  muita perseguição, coisa de mulher rejeitada. https://t.co/rdFzQaOB0g",É usado para sexualizar o alvo,Insulto,Mapa da Violência Política de Gênero
sharia,sharia,"""A “sharia branca” defende a submissão das mulheres aos moldes da sharia islâmica* Segundo os propagandistas altrighters como Andrew Anglin—, “as mulheres não têm o conceito de raça pois é muito abstrato para seus cérebros simples. Elas têm o conceito de serem engravidadas pelo macho dominante”. A sharia branca se sobrepõe a outros conceitos e teorias do ecossistema da farright, nos quais misturam teorias como “genocídio branco”, demografia e a aversão às pautas ligadas ao feminismo: “Temos que privar as mulheres do sufrágio e da maioria, senão de todo o poder político, jurídico e econômico”—."" (Prado, 2023)",Discurso de Ódio,"Prado, M. (2023). Tempestade ideológica"
Guerreiros da Justiça Social,SJW,"Termo pejorativo utilizado pelos altrighters contra indivíduos, leis e propostas que visam garantir e ampliar a manutenção de princípios liberais basilares como respeito à dignidade humana, proteção de minorias, Estado de Direito, separação de poderes e liberdade de imprensa. Tentam atingir aqueles que defendem os princípios liberais, acusando-os de estarem apenas preocupados com validação pessoal e uma suposta sinalização de virtude."" (Prado, 2023)",Invalidação,"Prado, M. (2023). Tempestade ideológica"
SJW,SJW,"""Abreviação para “Guerreiros da Justiça Social” (Social Justice Warrior), termo pejorativo utilizado pelos altrighters contra indivíduos, leis e propostas que visam garantir e ampliar a manutenção de princípios liberais basilares como respeito à dignidade humana, proteção de minorias, Estado de Direito, separação de poderes e liberdade de imprensa. Tentam atingir aqueles que defendem os princípios liberais, acusando-os de estarem apenas preocupados com validação pessoal e uma suposta sinalização de virtude."" (Prado, 2023)",Invalidação,"Prado, M. (2023). Tempestade ideológica"
fala merda,só fala merda,Insinua que o alvo fala bobeiras,Invalidação,Imprensa
só (.*) merda,só fala merda,Insinua que o alvo fala bobeiras,Invalidação,Imprensa
preciso de um (.*)/ vou usar um (.*),só preciso de um bastão de aço e um maçarico,É usado para indicar que fará/deseja fazer/deseja que aconteça algo contra o alvo,Ameaça,Imprensa
explodir seu (.*),Sou pedófilo e terrorista assumido e irei explodir seu gabinete com você dentro se você não renunciar,Insinua uma ação violenta contra o alvo,Ameaça,Imprensa
Sou (.*) e vou (*)/ Sou (.*) e irei (.*),Sou pedófilo e terrorista assumido e irei explodir seu gabinete com você dentro se você não renunciar,É usado para indicar que fará/deseja fazer/deseja que aconteça algo contra o alvo,Ameaça,Imprensa
vou (.*) se você não (.*),Sou pedófilo e terrorista assumido e irei explodir seu gabinete com você dentro se você não renunciar,"É usado para ameaçar o alvo, indicando que há mais por vir ",Ameaça,Imprensa
quenga,sua quenga,É usado para sexualizar o alvo,Insulto,Imprensa
se você fosse (.*) já tinha (.*),sua sorte é que você é mulher se fosse homem já tinha metido a mão em você há muito tempo,É usado para indicar que fará/deseja fazer/deseja que aconteça algo contra o alvo,Ameaça,Imprensa
sua sorte é que (.*),sua sorte é que você é mulher se fosse homem já tinha metido a mão em você há muito tempo,É usado para indicar que fará/deseja fazer/deseja que aconteça algo contra o alvo,Ameaça,Imprensa
vadia,sua vadia,É usado para sexualizar o alvo,Insulto,Imprensa
cadelice,"Submissa e surtada , sola da bota de Bolsonaro , conservadora de quais modos , da cadelice ? Aproveite .",É usado para sexualizar o alvo,Insulto,Mapa da Violência Política de Gênero
sola da bota do (.*),"Submissa e surtada , sola da bota de Bolsonaro , conservadora de quais modos , da cadelice ? Aproveite .","Insinua que o alvo só conseguiu algo devido a um terceiro, geralmente homem.",Invalidação,Mapa da Violência Política de Gênero
submissa,"Submissa e surtada , sola da bota de Bolsonaro , conservadora de quais modos , da cadelice ? Aproveite .","Insinua que o alvo só conseguiu algo devido a um terceiro, geralmente homem.",Insulto,Mapa da Violência Política de Gênero
surtada,"Submissa e surtada , sola da bota de Bolsonaro , conservadora de quais modos , da cadelice ? Aproveite .",Questiona a sanidade do alvo,Invalidação,Mapa da Violência Política de Gênero
batendo biela,tá batendo biela,Insinua que o alvo fala bobeiras,Invalidação,Imprensa
TPM,tá sofrendo de TPM,É usado para desqualificar o alvo,Invalidação,Imprensa
sonhando com ele,tá sonhando com ele só pode,É usado para sexualizar o alvo,Invalidação,Imprensa
Dilmanta,Tai ‘ porque escolheu a Dilmanta como sua sucessora ! E todo mundo achava que era porque ela assaltava bancos !,É usado para desqualificar o alvo,Invalidação,Mapa da Violência Política de Gênero
tchuchuca,tchuchuca de ladrão,É usado para sexualizar o alvo,Insulto,Imprensa
trocaram absorventes,Tebet e Thronicke trocaram absorventes no debate,É usado para estigmatizar e desumanizar o alvo,Insulto,Imprensa
tem tesão em (.*),Tem tesão nele,É usado para sexualizar o alvo,Invalidação,Imprensa
toda petista é (.*),toda petista é feia pra cacete,É usado para desqualificar o alvo,Insulto,Imprensa
toma,TOMA!!!,Utiliza o sarcasmo para debochar de uma situação na qual o alvo estaria insatisfeito,Invalidação,Mapa da Violência Política de Gênero
traidora,traidora,Questiona a moral do alvo,Insulto,Imprensa
traíra,traíra,Questiona a moral do alvo,Insulto,Imprensa
insignificante,traíra insignificante,Insinua que o alvo é desimportante,Invalidação,Imprensa
peppa,traíra peppa,Faz referência à aparência do alvo,Insulto,Imprensa
traíra,traíra peppa,Questiona a moral do alvo,Insulto,Imprensa
quem (.*) acaba,"Traíra, quem age assim acaba na alça da mira","É usado para ameaçar o alvo, indicando que há mais por vir",Ameaça,Mapa da Violência Política de Gênero
traíra,"Traíra, quem age assim acaba na alça da mira",Questiona a moral do alvo,Insulto,Mapa da Violência Política de Gênero
tranqueira,tranqueira petista,É usado para desqualificar o alvo,Insulto,Imprensa
traveco,traveco,É usado como ofensa LGBTQfóbica,Insulto,Imprensa
traveco,traveco nojento,É usado como ofensa LGBTQfóbica,Insulto,Imprensa
vaca,vaca,É usado para estigmatizar e desumanizar o alvo,Insulto,Imprensa
vagabunda,vagabunda,É usado para sexualizar o alvo,Insulto,Imprensa
vai aprender a (.*),vai aprender a lidar com pessoas de testosterona avançada,É usado para indicar que fará/deseja fazer/deseja que aconteça algo contra o alvo,Ameaça,Imprensa
bariátrica,vai fazer bariátrica,Faz referência à aparência do alvo,Insulto,Imprensa
vai fazer (.*),vai fazer bariátrica,É usado para indicar que fará/deseja fazer/deseja que aconteça algo contra o alvo,Insulto,Imprensa
lavar (.*),vai lavar uma louça,É usado para desqualificar o alvo,Invalidação,Imprensa
vai (.*),vai lavar uma louça,É usado para indicar que fará/deseja fazer/deseja que aconteça algo contra o alvo,Invalidação,Imprensa
vai tomar (.*),vai tomar seu remédio,É usado para indicar que fará/deseja fazer/deseja que aconteça algo contra o alvo,Invalidação,Imprensa
mar de sangue,vamos afogar o Piauí e o Brasil inteiro num mar de sangue se for preciso,Insinua uma ação violenta contra o alvo,Ameaça,Imprensa
explodir uma (.*),vamos explodir uma bomba no próximo comício,Insinua uma ação violenta contra o alvo,Ameaça,Imprensa
decapitar,vamos invadir sua casa de noite e decapitar você com um facão,Insinua uma ação violenta contra o alvo,Ameaça,Imprensa
invadir sua (.*),vamos invadir sua casa de noite e decapitar você com um facão,É usado para indicar que fará/deseja fazer/deseja que aconteça algo contra o alvo,Ameaça,Imprensa
te estuprar/ estuprar (.*),vamos te estuprar e te matar,Insinua uma ação violenta contra o alvo,Ameaça,Imprensa
te matar/ matar (.*),vamos te estuprar e te matar,Insinua uma ação violenta contra o alvo,Ameaça,Imprensa
vou te (.*)/ vamos te (.*),vamos te estuprar e te matar,É usado para indicar que fará/deseja fazer/deseja que aconteça algo contra o alvo,Ameaça,Imprensa
véia,véia,Utiliza a idade para ofender o alvo,Invalidação,Imprensa
velha,velha,Utiliza a idade para ofender o alvo,Invalidação,Imprensa
velha,velha,Utiliza a idade para ofender o alvo,Invalidação,Imprensa
nasceu com (.*),vereador homem pois nasceu com pênis e testículos,É usado como ofensa LGBTQfóbica,Insulto,Imprensa
vergonha,vergonha,É usado para expressão descontentamento com as atitudes do alvo,Crítica,Imprensa
vergonha,vergonha alheia,É usado para expressão descontentamento com as atitudes do alvo,Crítica,Imprensa
pilantra,Vigarista  pilantra.,Questiona a moral do alvo,Crítica,Mapa da Violência Política de Gênero
vigarista,Vigarista  pilantra.,Questiona a moral do alvo,Crítica,Mapa da Violência Política de Gênero
cala sua boca,Você cala sua boca,Indica que o alvo não deve se manifestar ou tecer opiniões,Invalidação,Imprensa
doida,você é doida,Questiona a sanidade do alvo,Invalidação,Imprensa
perigo para a sociedade,você é um perigo para a sociedade,É usado para estigmatizar e desumanizar o alvo,Insulto,Imprensa
piada,você é uma piada,É usado para desqualificar o alvo,Invalidação,Imprensa
vadia,Você é uma vadia,É usado para sexualizar o alvo,Insulto,Imprensa
vergonha,você é uma vergonha,É usado para expressão descontentamento com as atitudes do alvo,Crítica,Imprensa
vergonha,Você é uma vergonha,É usado para expressão descontentamento com as atitudes do alvo,Crítica,Imprensa
envergonha,você envergonha as mulheres,É usado para expressão descontentamento com as atitudes do alvo,Crítica,Imprensa
seu remedinho,você esqueceu de tomar seu remedinho,Questiona a sanidade do alvo,Invalidação,Imprensa
vergonha,você não cansa de passar vergonha,É usado para expressão descontentamento com as atitudes do alvo,Invalidação,Imprensa
você não cansa de (*),você não cansa de passar vergonha,Indica que o alvo não deve se manifestar ou tecer opiniões,Invalidação,Imprensa
não tem vergonha/sem vergonha,você não tem vergonha,É usado para expressão descontentamento com as atitudes do alvo,Crítica,Imprensa
você nunca deveria ter (.*)/ você não deveria ter (.*),você nunca deveria nem ter sido parido de sua mãe,É usado para indicar que fará/deseja fazer/deseja que aconteça algo contra o alvo,Insulto,Imprensa
Você tem (.*) para (.*),Você tem 90 dias para renunciar,É usado para indicar que fará/deseja fazer/deseja que aconteça algo contra o alvo,Ameaça,Imprensa
golpista,"Você tem culpa no cartório desta merda que virou Brasil, sua golpista. Deveria ter vergonha na cara. https://t.co/rpkvwalSmv",Questiona a moral do alvo,Crítica,Mapa da Violência Política de Gênero
vergonha na cara,"Você tem culpa no cartório desta merda que virou Brasil, sua golpista. Deveria ter vergonha na cara. https://t.co/rpkvwalSmv",É usado para expressão descontentamento com as atitudes do alvo,Crítica,Mapa da Violência Política de Gênero
você tem que (.*),você tem que ser isolado o mais rápido possível de preferência em um campo de concentração cheio de porcarias igual você,É usado para indicar que fará/deseja fazer/deseja que aconteça algo contra o alvo,Ameaça,Imprensa
você tem que (.*) em um campo de concentração,você tem que ser isolado o mais rápido possível de preferência em um campo de concentração cheio de porcarias igual você,É usado em um contexto de apologia ao nazismo,Ameaça,Imprensa
picolé de menstruação,Você tem um picolé de menstruação que é a Marília Arraes,É usado para estigmatizar e desumanizar o alvo,Insulto,Imprensa
você vai (.*)/ você deve (.*),você vai morrer,É usado para indicar que fará/deseja fazer/deseja que aconteça algo contra o alvo,Ameaça,Imprensa
amarrar (.*),vou amarrar suas mãos atrás das costas com enforca gato,Insinua uma ação violenta contra o alvo,Ameaça,Imprensa
amordaçar (.*),vou amordaçar sua boca com fita silver tape,Insinua uma ação violenta contra o alvo,Ameaça,Imprensa
arrancar suas roupas,vou arrancar suas roupas e estuprar você,Insinua uma ação violenta contra o alvo,Ameaça,Imprensa
estuprar você,vou arrancar suas roupas e estuprar você,Insinua uma ação violenta contra o alvo,Ameaça,Imprensa
enfiar meu pênis/enfiar o pênis,vou enfiar meu pênis na sua vagina até o sangue escorrer,Insinua uma ação violenta contra o alvo,Ameaça,Imprensa
sangue escorrer,vou enfiar meu pênis na sua vagina até o sangue escorrer,Insinua uma ação violenta contra o alvo,Ameaça,Imprensa
jogar gasolina em (.*),vou jogar gasolina no seu corpo imundo e tocar fogo,Insinua uma ação violenta contra o alvo,Ameaça,Imprensa
tocar fogo,vou jogar gasolina no seu corpo imundo e tocar fogo,Insinua uma ação violenta contra o alvo,Ameaça,Imprensa
matar (.*),vou matar sua mãe,Insinua uma ação violenta contra o alvo,Ameaça,Imprensa
te amarrar/ amarrar (.*),vou te amarrar e te estuprar na frente do seu filho,Insinua uma ação violenta contra o alvo,Ameaça,Imprensa
vou te (.*) na frente de (.*)/ vamos te (.*) na frente de (.*),vou te amarrar e te estuprar na frente do seu filho,É usado para indicar que fará/deseja fazer/deseja que aconteça algo contra o alvo,Ameaça,Imprensa
arrancar sua pele,vou te dar tanta surra que irei arrancar sua pele,Insinua uma ação violenta contra o alvo,Ameaça,Imprensa
dar uma surra,vou te dar tanta surra que irei arrancar sua pele,Insinua uma ação violenta contra o alvo,Ameaça,Imprensa
vou te (.*),vou te dar tanta surra que irei arrancar sua pele,É usado para indicar que fará/deseja fazer/deseja que aconteça algo contra o alvo,Ameaça,Imprensa
vou te (.*),vou te estuprar,É usado para indicar que fará/deseja fazer/deseja que aconteça algo contra o alvo,Ameaça,Imprensa
vitimismo,vtnc com seu vitimismo,É usado para desqualificar o alvo,Invalidação,Imprensa
vtnc,vtnc com seu vitimismo,Xingamento direto contra o alvo,Insulto,Imprensa
